"","dates","cases"
"1",2020-02-17,1
"2",2020-02-18,1
"3",2020-02-19,0
"4",2020-02-20,1
"5",2020-02-21,0
"6",2020-02-22,0
"7",2020-02-23,1
"8",2020-02-24,0
"9",2020-02-25,1
"10",2020-02-26,1
"11",2020-02-27,1
"12",2020-02-28,1
"13",2020-02-29,0
"14",2020-03-01,2
"15",2020-03-02,4
"16",2020-03-03,2
"17",2020-03-04,2
"18",2020-03-05,5
"19",2020-03-06,4
"20",2020-03-07,7
"21",2020-03-08,5
"22",2020-03-09,20
"23",2020-03-10,28
"24",2020-03-11,18
"25",2020-03-12,19
"26",2020-03-13,32
"27",2020-03-14,28
"28",2020-03-15,39
"29",2020-03-16,44
"30",2020-03-17,50
"31",2020-03-18,50
"32",2020-03-19,64
"33",2020-03-20,73
"34",2020-03-21,75
"35",2020-03-22,49
"36",2020-03-23,98
"37",2020-03-24,69
"38",2020-03-25,86
"39",2020-03-26,60
"40",2020-03-27,70
"41",2020-03-28,52
"42",2020-03-29,97
"43",2020-03-30,92
"44",2020-03-31,62
"45",2020-04-01,97
"46",2020-04-02,76
"47",2020-04-03,115
"48",2020-04-04,85
"49",2020-04-05,91
"50",2020-04-06,124
"51",2020-04-07,81
"52",2020-04-08,84
"53",2020-04-09,58
"54",2020-04-10,90
"55",2020-04-11,84
"56",2020-04-12,34
"57",2020-04-13,11
