"","rates","d2","week"
"1",0.0799785208338398,9.00879640012201,2020-02-20
"2",0.049510512897139,14.3437824023035,2020-02-21
"3",0.0266595069446133,26.3450538632962,2020-02-28
"4",0.0266595069446133,26.3450538632962,2020-02-29
"5",0.0284855005709567,24.6782845570081,2020-03-01
"6",0.21888858333472,3.5018142852651,2020-03-02
"7",0.155875203283816,4.78501771061086,2020-03-03
"8",0.146139373734643,5.08175294207393,2020-03-04
"9",0.170182063835198,4.41047379356488,2020-03-05
"10",0.11507556037679,6.36369236880964,2020-03-06
"11",0.166949272762866,4.48950211498995,2020-03-07
"12",0.140504538431453,5.27225426471423,2020-03-08
"13",0.224207623034371,3.4264381459413,2020-03-09
"14",0.353662461653129,2.2890207043698,2020-03-10
"15",0.32357569517322,2.47255033471016,2020-03-11
"16",0.297301627318823,2.66301691035931,2020-03-12
"17",0.302786174325902,2.62054291371942,2020-03-13
"18",0.234222224204863,3.29378401196674,2020-03-14
"19",0.195993720467154,3.87281947848225,2020-03-15
"20",0.0963669853642464,7.53404690033233,2020-03-16
"21",0.113703066972595,6.43647117487259,2020-03-17
"22",0.14640366731582,5.07317728825815,2020-03-18
"23",0.14290767771409,5.18917474824145,2020-03-19
"24",0.140295589799089,5.27961218721993,2020-03-20
"25",0.140228381090045,5.28198353096054,2020-03-21
"26",0.0735310407990884,9.76906832419031,2020-03-22
"27",0.0765189065455204,9.40082371283669,2020-03-23
"28",0.048637427935096,14.5951428839518,2020-03-24
"29",0.0431402674685825,16.411423861236,2020-03-25
"30",0.0136732093369264,51.0396067791921,2020-03-29
"31",0.00742611705143326,93.6852594881117,2020-03-31
"32",0.0312280656486968,22.5410867427381,2020-04-01
